As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive Old,Netflix Release Date,Days In Top 10,Viewership Score,Netflix Exclusive,Streak,Rank Last Week
20/04/21,1,1,-,Synchronic,Movie,,"Apr 16, 2021",3,30,No,1,NA
20/04/21,2,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",5,36,No,2,NA
20/04/21,4,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",6,38,Yes,6,NA
20/04/21,10,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",16,79,Yes,10,4
20/04/21,7,4,1,Thunder Force,Movie,Yes,"Apr 9, 2021",11,95,Yes,4,1
20/04/21,8,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",25,196,Yes,8,3
20/04/21,5,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",6,45,Yes,5,NA
21/04/21,3,6,6,Cocomelon,TV Show,,"Jun 1, 2020",180,581,No,6,6
21/04/21,4,3,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",7,61,Yes,3,NA
21/04/21,8,9,5,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",9,25,No,9,5
21/04/21,2,1,-,Synchronic,Movie,,"Apr 16, 2021",4,39,No,1,NA
21/04/21,1,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",6,46,No,2,NA
21/04/21,5,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",7,44,Yes,4,NA
21/04/21,10,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",17,80,Yes,10,4
21/04/21,6,7,1,Thunder Force,Movie,Yes,"Apr 9, 2021",12,100,Yes,7,1
21/04/21,9,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",26,198,Yes,8,3
21/04/21,7,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",7,49,Yes,5,NA
22/04/21,4,3,7,Cocomelon,TV Show,,"Jun 1, 2020",181,588,No,3,7
22/04/21,5,4,2,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",8,67,Yes,4,2
22/04/21,7,8,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",10,29,No,8,9
22/04/21,3,2,-,Synchronic,Movie,,"Apr 16, 2021",5,47,No,2,NA
22/04/21,2,1,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",7,55,No,1,NA
22/04/21,1,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",8,54,Yes,5,4
22/04/21,8,10,8,The Serpent,TV Show,Yes,"Apr 2, 2021",18,83,Yes,10,8
22/04/21,6,6,1,Thunder Force,Movie,Yes,"Apr 9, 2021",13,105,Yes,6,1
22/04/21,9,9,5,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",27,200,Yes,9,5
22/04/21,10,7,3,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",8,50,Yes,7,3
23/04/21,4,4,6,Cocomelon,TV Show,,"Jun 1, 2020",182,595,No,4,6
23/04/21,8,5,1,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",9,70,Yes,5,1
23/04/21,5,-,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",1,6,Yes,-1,NA
23/04/21,7,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",11,33,No,7,8
23/04/21,3,-,-,Stowaway,Movie,Yes,"Apr 22, 2021",1,8,Yes,-1,NA
23/04/21,6,3,-,Synchronic,Movie,,"Apr 16, 2021",6,52,No,3,NA
23/04/21,2,2,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",8,64,No,2,5
23/04/21,1,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",9,64,Yes,1,4
23/04/21,9,8,9,The Serpent,TV Show,Yes,"Apr 2, 2021",19,85,Yes,8,9
23/04/21,10,9,7,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",28,201,Yes,9,7
24/04/21,5,4,6,Cocomelon,TV Show,,"Jun 1, 2020",183,601,No,4,6
24/04/21,6,5,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",2,11,Yes,5,NA
24/04/21,8,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",12,36,No,7,8
24/04/21,1,-,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",1,10,Yes,-1,NA
24/04/21,2,3,-,Stowaway,Movie,Yes,"Apr 22, 2021",2,17,Yes,3,NA
24/04/21,7,6,-,Synchronic,Movie,,"Apr 16, 2021",7,56,No,6,NA
24/04/21,4,2,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",9,71,No,2,5
24/04/21,3,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",10,72,Yes,1,4
24/04/21,9,9,9,The Serpent,TV Show,Yes,"Apr 2, 2021",20,87,Yes,9,9
24/04/21,10,-,3,Thunder Force,Movie,Yes,"Apr 9, 2021",14,106,Yes,-1,3
25/04/21,6,5,7,Cocomelon,TV Show,,"Jun 1, 2020",184,606,No,5,7
25/04/21,3,6,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",3,19,Yes,6,NA
25/04/21,9,8,10,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",13,38,No,8,10
25/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",2,20,Yes,1,NA
25/04/21,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",3,26,Yes,2,NA
25/04/21,7,7,1,Synchronic,Movie,,"Apr 16, 2021",8,60,No,7,1
25/04/21,4,4,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",10,78,No,4,5
25/04/21,5,3,6,The Circle US,TV Show,Yes,"Jan 1, 2020",11,78,Yes,3,6
25/04/21,10,9,-,The Serpent,TV Show,Yes,"Apr 2, 2021",21,88,Yes,9,NA
25/04/21,8,10,3,Thunder Force,Movie,Yes,"Apr 9, 2021",15,109,Yes,10,3
26/04/21,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",185,611,No,6,7
26/04/21,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",4,27,Yes,3,NA
26/04/21,10,9,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",14,39,No,9,9
26/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",3,30,Yes,1,NA
26/04/21,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",4,35,Yes,2,NA
26/04/21,7,7,1,Synchronic,Movie,,"Apr 16, 2021",9,64,No,7,1
26/04/21,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",11,85,No,4,2
26/04/21,5,5,6,The Circle US,TV Show,Yes,"Jan 1, 2020",12,84,Yes,5,6
26/04/21,9,10,10,The Serpent,TV Show,Yes,"Apr 2, 2021",22,90,Yes,10,10
26/04/21,8,8,4,Thunder Force,Movie,Yes,"Apr 9, 2021",16,112,Yes,8,4
27/04/21,9,-,-,American Me,Movie,,"Apr 17, 2021",1,2,No,-1,NA
27/04/21,6,6,6,Cocomelon,TV Show,,"Jun 1, 2020",186,616,No,6,6
27/04/21,10,-,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",41,331,Yes,-1,NA
27/04/21,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",5,35,Yes,3,NA
27/04/21,8,10,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",15,42,No,10,9
27/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",4,40,Yes,1,NA
27/04/21,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",5,44,Yes,2,NA
27/04/21,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",12,92,No,4,2
27/04/21,5,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",13,90,Yes,5,4
27/04/21,7,9,10,The Serpent,TV Show,Yes,"Apr 2, 2021",23,94,Yes,9,10
28/04/21,9,9,-,American Me,Movie,,"Apr 17, 2021",2,4,No,9,NA
28/04/21,6,6,3,Cocomelon,TV Show,,"Jun 1, 2020",187,621,No,6,3
28/04/21,10,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",42,332,Yes,10,NA
28/04/21,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",6,43,Yes,3,NA
28/04/21,8,8,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",16,45,No,8,8
28/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",5,50,Yes,1,NA
28/04/21,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",6,53,Yes,2,NA
28/04/21,4,4,1,The Baker and the Beauty,TV Show,,"Apr 13, 2021",13,99,No,4,1
28/04/21,5,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",14,96,Yes,5,5
28/04/21,7,7,10,The Serpent,TV Show,Yes,"Apr 2, 2021",24,98,Yes,7,10
29/04/21,8,9,-,American Me,Movie,,"Apr 17, 2021",3,7,No,9,NA
29/04/21,6,6,4,Cocomelon,TV Show,,"Jun 1, 2020",188,626,No,6,4
29/04/21,9,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",43,334,Yes,10,NA
29/04/21,5,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",7,49,Yes,3,NA
29/04/21,7,8,7,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",17,49,No,8,7
29/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",6,60,Yes,1,NA
29/04/21,3,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",7,61,Yes,2,NA
29/04/21,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",14,106,No,4,2
29/04/21,2,5,1,The Circle US,TV Show,Yes,"Jan 1, 2020",15,105,Yes,5,1
29/04/21,10,7,8,The Serpent,TV Show,Yes,"Apr 2, 2021",25,99,Yes,7,8
30/04/21,4,6,4,Cocomelon,TV Show,,"Jun 1, 2020",189,633,No,6,4
30/04/21,10,9,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",44,335,Yes,9,NA
30/04/21,8,5,5,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",8,52,Yes,5,5
30/04/21,9,7,7,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",18,51,No,7,7
30/04/21,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",7,70,Yes,1,NA
30/04/21,6,3,3,Stowaway,Movie,Yes,"Apr 22, 2021",8,66,Yes,3,3
30/04/21,5,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",15,112,No,4,2
30/04/21,2,2,1,The Circle US,TV Show,Yes,"Jan 1, 2020",16,114,Yes,2,1
30/04/21,3,-,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",1,8,Yes,-1,NA
30/04/21,7,-,-,Yasuke,TV Show,Yes,"Apr 29, 2021",1,4,Yes,-1,NA
01/05/21,5,4,5,Cocomelon,TV Show,,"Jun 1, 2020",190,639,No,4,5
01/05/21,9,8,6,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",9,54,Yes,8,6
01/05/21,2,1,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",8,79,Yes,1,1
01/05/21,7,6,2,Stowaway,Movie,Yes,"Apr 22, 2021",9,70,Yes,6,2
01/05/21,8,5,4,The Baker and the Beauty,TV Show,,"Apr 13, 2021",16,115,No,5,4
01/05/21,4,2,3,The Circle US,TV Show,Yes,"Jan 1, 2020",17,121,Yes,2,3
01/05/21,10,-,-,The Innocent,TV Show,Yes,"Apr 30, 2021",1,1,Yes,-1,NA
01/05/21,1,-,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",1,10,Yes,-1,NA
01/05/21,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",2,16,Yes,3,NA
01/05/21,6,7,-,Yasuke,TV Show,Yes,"Apr 29, 2021",2,9,Yes,7,NA
02/05/21,8,5,6,Cocomelon,TV Show,,"Jun 1, 2020",191,642,No,5,6
02/05/21,7,-,-,Green Zone,Movie,,"May 1, 2021",1,4,No,-1,NA
02/05/21,6,-,-,Love Happens,Movie,,"May 1, 2021",1,5,No,-1,NA
02/05/21,4,-,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",1,7,No,-1,NA
02/05/21,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",9,88,Yes,2,1
02/05/21,5,4,5,The Circle US,TV Show,Yes,"Jan 1, 2020",18,127,Yes,4,5
02/05/21,10,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",2,2,Yes,10,NA
02/05/21,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",2,20,Yes,1,NA
02/05/21,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",3,24,Yes,3,NA
02/05/21,9,6,-,Yasuke,TV Show,Yes,"Apr 29, 2021",3,11,Yes,6,NA
03/05/21,8,8,6,Cocomelon,TV Show,,"Jun 1, 2020",192,645,No,8,6
03/05/21,7,7,-,Green Zone,Movie,,"May 1, 2021",2,8,No,7,NA
03/05/21,6,6,-,Love Happens,Movie,,"May 1, 2021",2,10,No,6,NA
03/05/21,4,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",2,14,No,4,NA
03/05/21,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",10,97,Yes,2,1
03/05/21,5,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",19,133,Yes,5,5
03/05/21,10,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",3,3,Yes,10,NA
03/05/21,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",3,30,Yes,1,NA
03/05/21,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",4,32,Yes,3,NA
03/05/21,9,9,-,Yasuke,TV Show,Yes,"Apr 29, 2021",4,13,Yes,9,NA
04/05/21,10,8,6,Cocomelon,TV Show,,"Jun 1, 2020",193,646,No,8,6
04/05/21,4,7,-,Green Zone,Movie,,"May 1, 2021",3,15,No,7,NA
04/05/21,5,6,-,Love Happens,Movie,,"May 1, 2021",3,16,No,6,NA
04/05/21,3,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",3,22,No,4,NA
04/05/21,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",11,106,Yes,2,1
04/05/21,7,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",20,137,Yes,5,5
04/05/21,8,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",4,6,Yes,10,NA
04/05/21,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",4,40,Yes,1,NA
04/05/21,6,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",5,37,Yes,3,NA
04/05/21,9,-,-,Your Highness,Movie,,"May 1, 2021",1,2,No,-1,NA
05/05/21,10,10,6,Cocomelon,TV Show,,"Jun 1, 2020",194,647,No,10,6
05/05/21,6,4,-,Green Zone,Movie,,"May 1, 2021",4,20,No,4,NA
05/05/21,5,5,-,Love Happens,Movie,,"May 1, 2021",4,22,No,5,NA
05/05/21,4,3,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",4,29,No,3,NA
05/05/21,3,-,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",12,94,Yes,-1,NA
05/05/21,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",12,115,Yes,2,1
05/05/21,9,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",21,139,Yes,7,5
05/05/21,7,8,-,The Innocent,TV Show,Yes,"Apr 30, 2021",5,10,Yes,8,NA
05/05/21,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",5,50,Yes,1,NA
05/05/21,8,6,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",6,40,Yes,6,NA
06/05/21,10,10,6,Cocomelon,TV Show,,"Jun 1, 2020",195,648,No,10,6
06/05/21,6,6,-,Green Zone,Movie,,"May 1, 2021",5,25,No,6,NA
06/05/21,5,5,-,Love Happens,Movie,,"May 1, 2021",5,28,No,5,NA
06/05/21,4,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",5,36,No,4,NA
06/05/21,3,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",13,102,Yes,3,NA
06/05/21,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",13,124,Yes,2,1
06/05/21,9,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",22,141,Yes,9,2
06/05/21,7,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",6,14,Yes,7,NA
06/05/21,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",6,60,Yes,1,NA
06/05/21,8,8,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",7,43,Yes,8,NA
07/05/21,7,10,4,Cocomelon,TV Show,,"Jun 1, 2020",196,652,No,10,4
07/05/21,9,6,-,Green Zone,Movie,,"May 1, 2021",6,27,No,6,NA
07/05/21,10,5,-,Love Happens,Movie,,"May 1, 2021",6,29,No,5,NA
07/05/21,6,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",6,41,No,4,NA
07/05/21,3,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",14,110,Yes,3,NA
07/05/21,5,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",14,130,Yes,2,1
07/05/21,4,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",23,148,Yes,9,2
07/05/21,8,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",7,17,Yes,7,NA
07/05/21,2,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",7,69,Yes,1,NA
07/05/21,1,-,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",1,10,Yes,-1,NA
08/05/21,8,7,5,Cocomelon,TV Show,,"Jun 1, 2020",197,655,No,7,5
08/05/21,1,-,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",1,10,Yes,-1,NA
08/05/21,6,6,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",7,46,No,6,NA
08/05/21,9,-,-,Monster,Movie,Yes,"May 7, 2021",1,2,Yes,-1,NA
08/05/21,4,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",15,117,Yes,3,NA
08/05/21,5,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",15,136,Yes,5,2
08/05/21,7,4,4,The Circle US,TV Show,Yes,"Jan 1, 2020",24,152,Yes,4,4
08/05/21,10,8,10,The Innocent,TV Show,Yes,"Apr 30, 2021",8,18,Yes,8,10
08/05/21,3,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",8,77,Yes,2,1
08/05/21,2,1,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",2,19,Yes,1,NA
09/05/21,8,8,8,Cocomelon,TV Show,,"Jun 1, 2020",198,658,No,8,8
09/05/21,10,-,-,Dead Man Down,Movie,,"Nov 6, 2013",1,1,No,-1,NA
09/05/21,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",2,20,Yes,1,NA
09/05/21,7,6,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",8,50,No,6,4
09/05/21,6,9,-,Monster,Movie,Yes,"May 7, 2021",2,7,Yes,9,NA
09/05/21,4,4,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",16,124,Yes,4,NA
09/05/21,5,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",16,142,Yes,5,2
09/05/21,9,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",25,154,Yes,7,5
09/05/21,2,3,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",9,86,Yes,3,1
09/05/21,3,2,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",3,27,Yes,2,NA
10/05/21,10,8,8,Cocomelon,TV Show,,"Jun 1, 2020",199,659,No,8,8
10/05/21,4,10,-,Dead Man Down,Movie,,"Nov 6, 2013",2,8,No,10,NA
10/05/21,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",3,30,Yes,1,NA
10/05/21,8,7,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",9,53,No,7,4
10/05/21,7,6,-,Monster,Movie,Yes,"May 7, 2021",3,11,Yes,6,NA
10/05/21,5,4,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",17,130,Yes,4,NA
10/05/21,6,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",17,147,Yes,5,2
10/05/21,9,-,-,StartUp,TV Show,,"May 4, 2021",1,2,No,-1,NA
10/05/21,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",10,95,Yes,2,1
10/05/21,3,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",4,35,Yes,3,NA
11/05/21,9,10,10,Cocomelon,TV Show,,"Jun 1, 2020",200,661,No,10,10
11/05/21,4,4,-,Dead Man Down,Movie,,"Nov 6, 2013",3,15,No,4,NA
11/05/21,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",4,40,Yes,1,NA
11/05/21,10,8,3,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",10,54,No,8,3
11/05/21,8,7,-,Monster,Movie,Yes,"May 7, 2021",4,14,Yes,7,NA
11/05/21,5,5,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",18,136,Yes,5,NA
11/05/21,7,6,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",18,151,Yes,6,2
11/05/21,6,9,-,StartUp,TV Show,,"May 4, 2021",2,7,No,9,NA
11/05/21,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",11,104,Yes,2,1
11/05/21,3,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",5,43,Yes,3,NA
12/05/21,8,9,10,Cocomelon,TV Show,,"Jun 1, 2020",201,664,No,9,10
12/05/21,7,4,-,Dead Man Down,Movie,,"Nov 6, 2013",4,19,No,4,NA
12/05/21,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",5,50,Yes,1,NA
12/05/21,10,10,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",11,55,No,10,4
12/05/21,9,8,-,Monster,Movie,Yes,"May 7, 2021",5,16,Yes,8,NA
12/05/21,5,5,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",19,142,Yes,5,3
12/05/21,6,7,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",19,156,Yes,7,2
12/05/21,3,6,-,StartUp,TV Show,,"May 4, 2021",3,15,No,6,NA
12/05/21,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",12,113,Yes,2,1
12/05/21,4,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",6,50,Yes,3,NA
13/05/21,6,8,10,Cocomelon,TV Show,,"Jun 1, 2020",202,669,No,8,10
13/05/21,9,7,-,Dead Man Down,Movie,,"Nov 6, 2013",5,21,No,7,NA
13/05/21,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",6,60,Yes,1,NA
13/05/21,10,10,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",12,56,No,10,4
13/05/21,7,5,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",20,146,Yes,5,3
13/05/21,8,6,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",20,159,Yes,6,2
13/05/21,4,3,-,StartUp,TV Show,,"May 4, 2021",4,22,No,3,NA
13/05/21,3,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",13,121,Yes,2,1
13/05/21,5,4,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",7,56,Yes,4,NA
13/05/21,2,-,-,The Upshaws,TV Show,Yes,"May 12, 2021",1,9,Yes,-1,NA
14/05/21,5,-,-,CastleVania,TV Show,Yes,"Jul 7, 2017",1,6,Yes,-1,NA
14/05/21,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",203,674,No,6,7
14/05/21,10,9,-,Dead Man Down,Movie,,"Nov 6, 2013",6,22,No,9,NA
14/05/21,2,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",7,69,Yes,1,NA
14/05/21,8,7,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",21,149,Yes,7,3
14/05/21,9,8,5,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",21,161,Yes,8,5
14/05/21,3,4,-,StartUp,TV Show,,"May 4, 2021",5,30,No,4,NA
14/05/21,4,3,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",14,128,Yes,3,2
14/05/21,7,5,1,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",8,60,Yes,5,1
14/05/21,1,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",2,19,Yes,2,NA
15/05/21,7,5,-,CastleVania,TV Show,Yes,"Jul 7, 2017",2,10,Yes,5,NA
15/05/21,8,6,8,Cocomelon,TV Show,,"Jun 1, 2020",204,677,No,6,8
15/05/21,9,-,-,Halston,TV Show,Yes,"May 14, 2021",1,2,Yes,-1,NA
15/05/21,10,-,-,I Am All Girls,Movie,Yes,"May 14, 2021",1,1,Yes,-1,NA
15/05/21,6,-,-,Jungle Beat: The Movie,Movie,,"May 14, 2021",1,5,No,-1,NA
15/05/21,3,2,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",8,77,Yes,2,1
15/05/21,5,3,-,StartUp,TV Show,,"May 4, 2021",6,36,No,3,NA
15/05/21,4,4,3,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",15,135,Yes,4,3
15/05/21,2,1,-,The Upshaws,TV Show,Yes,"May 12, 2021",3,28,Yes,1,NA
15/05/21,1,-,-,The Woman in the Window,Movie,Yes,"May 14, 2021",1,10,Yes,-1,NA
16/05/21,10,7,-,CastleVania,TV Show,Yes,"Jul 7, 2017",3,11,Yes,7,NA
16/05/21,9,8,8,Cocomelon,TV Show,,"Jun 1, 2020",205,679,No,8,8
16/05/21,6,9,-,Halston,TV Show,Yes,"May 14, 2021",2,7,Yes,9,NA
16/05/21,8,10,-,I Am All Girls,Movie,Yes,"May 14, 2021",2,4,Yes,10,NA
16/05/21,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",9,85,Yes,3,1
16/05/21,5,-,-,"Love, Death & Robots",TV Show,Yes,"Mar 15, 2019",1,6,Yes,-1,NA
16/05/21,7,5,-,StartUp,TV Show,,"May 4, 2021",7,40,No,5,NA
16/05/21,4,4,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",16,142,Yes,4,2
16/05/21,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",4,37,Yes,2,NA
